class_id,file,reid_split,segmentation_split
1,01D.JPG,database,validation
1,3587_101114_P01D.JPG,database,validation
1,3587_101114_01G.JPG,database,validation
1,IMG_0045.JPG,database,validation
1,3587_101114_01D.JPG,database,validation
1,IMG_0047.JPG,database,validation
1,01G.JPG,database,validation
1,IMG_0046.JPG,database,validation
1,IMG_0048.JPG,database,validation
2,IMG_0051.JPG,database,testing
2,IMG_0050.JPG,database,testing
2,IMG_0049.JPG,database,testing
2,02D.JPG,database,testing
2,02G.JPG,database,testing
3,03Gb.JPG,database,testing
3,03Ga.JPG,database,testing
3,03Db.JPG,database,testing
3,IMG_0052.JPG,database,testing
3,IMG_0054.JPG,database,testing
3,IMG_0055.JPG,database,testing
3,IMG_0053.JPG,database,testing
3,03Da.JPG,database,testing
4,04Gb.JPG,database,training
4,IMG_0057.JPG,database,training
4,04D.JPG,database,training
4,IMG_0056.JPG,database,training
4,04Ga.JPG,database,training
5,05G.JPG,database,training
5,IMG_0058.JPG,database,training
5,IMG_0059.JPG,database,training
5,4677_101114_P04D.JPG,database,training
5,4677_101114_04G.JPG,database,training
5,4677_101114_04D.JPG,database,training
5,05D.JPG,database,training
6,IMG_0060.JPG,database,training
6,IMG_0061.JPG,database,training
6,06G.JPG,database,training
6,06D.JPG,database,training
7,IMG_0063.JPG,database,testing
7,07G.JPG,database,testing
7,IMG_0064.JPG,database,testing
7,07D.JPG,database,testing
7,IMG_0062.JPG,database,testing
8,IMG_0066.JPG,database,training
8,IMG_0065.JPG,database,training
8,08D.JPG,database,training
8,08G.JPG,database,training
9,IMG_0068.JPG,database,training
9,IMG_0067.JPG,database,training
10,6342_101114_08D.JPG,database,training
10,6342_101114_08G.JPG,database,training
10,IMG_0071.JPG,database,training
10,IMG_0070.JPG,database,training
10,10D.JPG,database,training
10,10G.JPG,database,training
10,IMG_0069.JPG,database,training
10,IMG_0072.JPG,database,training
10,6342_101114_P08D.JPG,database,training
11,IMG_0074.JPG,database,training
11,11D.JPG,database,training
11,11G.JPG,database,training
11,IMG_0073.JPG,database,training
12,12G.JPG,database,testing
12,12D.JPG,database,testing
12,IMG_0076.JPG,database,testing
12,IMG_0075.JPG,database,testing
12,4630_101114_P02D.JPG,database,testing
12,4630_101114_02G.JPG,database,testing
12,4630_101114_02D.JPG,database,testing
13,IMG_0077.JPG,database,validation
13,13G.JPG,database,validation
13,1828_101114_05G.JPG,database,validation
13,1828_101114_05D.JPG,database,validation
13,13D.JPG,database,validation
13,1828_101114_P05D.JPG,database,validation
13,IMG_0078.JPG,database,validation
14,14D.JPG,database,testing
14,IMG_0079.JPG,database,testing
14,IMG_0080.JPG,database,testing
14,14G.JPG,database,testing
15,0698_101114_P03D.JPG,database,training
15,0698_101114_03G.JPG,database,training
15,0698_101114_03D.JPG,database,training
15,15G.JPG,database,training
15,IMG_0082.JPG,database,training
15,15D.JPG,database,training
15,15D(b).JPG,database,training
15,IMG_0081.JPG,database,training
15,15G(d).JPG,database,training
16,IMG_0083.JPG,database,testing
16,4403_101114_07D.JPG,database,testing
16,4403_101114_07G.JPG,database,testing
16,IMG_0084.JPG,database,testing
16,4403_101114_P07D.JPG,database,testing
16,16D.JPG,database,testing
16,16G.JPG,database,testing
17,IMG_0086.JPG,database,training
17,IMG_0085.JPG,database,training
17,IMG_0088.JPG,database,training
17,17D.JPG,database,training
17,17G.JPG,database,training
17,IMG_0087.JPG,database,training
18,18D.JPG,database,training
18,18G.JPG,database,training
18,IMG_0090.JPG,database,training
18,IMG_0089.JPG,database,training
19,IMG_0092.JPG,database,training
19,IMG_0091.JPG,database,training
19,IMG_0094.JPG,database,training
19,19G.JPG,database,training
19,IMG_0093.JPG,database,training
19,19D.JPG,database,training
20,IMG_0095.JPG,database,testing
20,20G.JPG,database,testing
20,20D.JPG,database,testing
20,IMG_0096.JPG,database,testing
21,1450_101114_15D.JPG,database,validation
21,21G.JPG,database,validation
21,1450_101114_P15D.JPG,database,validation
21,IMG_0098.JPG,database,validation
21,IMG_0097.JPG,database,validation
21,21D.JPG,database,validation
21,1450_101114_15G.JPG,database,validation
22,0002_101114_P10D.JPG,database,testing
22,0002_101114_10G.JPG,database,testing
22,0002_101114_10D.JPG,database,testing
23,0003_101114_P14a.JPG,database,testing
23,0003_101114_P14b.JPG,database,testing
23,0003_101114_14D.JPG,database,testing
23,0003_101114_14G.JPG,database,testing
24,0005_101114_21D.JPG,database,training
24,0005_101114_21G.JPG,database,training
24,0005_101114_P21D.JPG,database,training
25,0029_101114_23D.JPG,database,testing
25,0029_101114_23DG.JPG,database,testing
25,0029_101114_P23D.JPG,database,testing
26,002A_101114_24D.JPG,database,testing
26,002A_101114_24G.JPG,database,testing
26,002A_101114_P24D.JPG,database,testing
27,002B_101114_20D.JPG,database,training
27,002B_101114_P20D.JPG,database,training
27,002B_101114_20G.JPG,database,training
28,002D_101114_17D.JPG,database,training
28,002D_101114_17G.JPG,database,training
28,002D_101114_P17D.JPG,database,training
29,002E_101114_25G.JPG,database,testing
29,002E_101114_25D.JPG,database,testing
29,002E_101114_P25D.JPG,database,testing
30,0030_101114_06D.JPG,database,training
30,0030_101114_06G.JPG,database,training
30,0030_101114_P06.JPG,database,training
31,0031_101114_11D.JPG,database,validation
31,0031_101114_11G.JPG,database,validation
31,0031_101114_P11D.JPG,database,validation
32,0032_101114_P22D.JPG,database,validation
32,0032_101114_22D.JPG,database,validation
32,0032_101114_22G.JPG,database,validation
33,0036_101114_P18D.JPG,database,testing
33,0036_101114_18D.JPG,database,testing
33,0036_101114_18G.JPG,database,testing
34,0037_101114_P09D.JPG,database,testing
34,0037_101114_09G.JPG,database,testing
34,0037_101114_09D.JPG,database,testing
35,0038_101114_19G.JPG,database,testing
35,0038_101114_P19D.JPG,database,testing
35,0038_101114_19D.JPG,database,testing
36,0039_101114_P16D.JPG,database,testing
36,0039_101114_16G.JPG,database,testing
36,0039_101114_16D.JPG,database,testing
37,003A_101114_12G.JPG,database,validation
37,003A_101114_12D.JPG,database,validation
37,003A_101114_P12D.JPG,database,validation
38,9E7E_101114_13G.JPG,database,validation
38,9E7E_101114_13D.JPG,database,validation
38,9E7E_101114_P13D.JPG,database,validation
